ID Nome Categoria Prezzo Disponibilita 
1 Canotta AliceBlue Sport 9292,8 Non disponibile 
2 Scarpe eleganti CornflowerBlue Shoes 5985,1 Non disponibile 
3 Leggings Aqua Donna 874,5 Non disponibile 
4 Leggings Tomato Donna 891 Disponibile 
5 Scarpe da ginnastica Blue Sport 9653,6 Non disponibile 
6 Giacca Wheat Donna 4436,3 Non disponibile 
7 Canotta Chocolate Sport 2302,3 Non disponibile 
8 Giacca Magenta Donna 9551,3 Disponibile 
9 Camicia PaleGoldenRod Uomo 2808,3 Non disponibile 
10 Occhiali da sole Aqua Accessori 6001,6 Disponibile 
11 Gonna LightCyan Donna 856,9 Non disponibile 
12 Giacca Thistle Donna 9461,1 Non disponibile 
13 Orologio DarkOrange Accessori 7615,3 Disponibile 
14 Cappellino LightYellow Bambino 9474,3 Non disponibile 
15 Sneakers PaleGoldenRod Shoes 10634,8 Non disponibile 
16 Borsa Orchid Accessori 718,3 Disponibile 
17 Stivaletti LightSalmon Shoes 8661,4 Disponibile 
18 Maglia termica Thistle Sport 5545,1 Disponibile 
19 Pantaloni GoldenRod Bambino 7393,1 Non disponibile 
20 T-shirt Maroon Bambino 2555,3 Disponibile 
21 Zaino PapayaWhip Accessori 8856,1 Non disponibile 
22 Occhiali da sole LightSeaGreen Accessori 3140,5 Disponibile 
23 Tuta Pink Sport 5872,9 Non disponibile 
24 Gonna Beige Donna 8533,8 Disponibile 
25 Shorts DarkGreen Bambino 10861,4 Non disponibile 
26 Pantaloni Wheat Bambino 3979,8 Non disponibile 
27 Cintura Blue Accessori 603,9 Non disponibile 
28 Cintura GhostWhite Accessori 10784,4 Non disponibile 
29 Felpa Snow Bambino 7420,6 Non disponibile 
30 Maglia termica MediumVioletRed Sport 4755,3 Disponibile 
31 Orologio Magenta Accessori 5886,1 Disponibile 
32 Maglia termica OrangeRed Sport 2070,2 Non disponibile 
33 Jeans Green Uomo 4162,4 Disponibile 
34 Jeans DarkOrange Uomo 5545,1 Non disponibile 
35 Maglia termica MediumBlue Sport 4903,8 Non disponibile 
36 Shorts Aqua Bambino 3555,2 Non disponibile 
37 Sandali Sienna Shoes 6409,7 Disponibile 
38 Giubbotto LavenderBlush Bambino 5307,5 Non disponibile 
39 Stivaletti Chocolate Shoes 10550,1 Disponibile 
40 Giacca Salmon Donna 7494,3 Disponibile 
